"Passengers (All Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,987,132","257,106","3,244,238"
2002,11,"2,830,161","223,820","3,053,981"
2002,12,"3,064,543","240,499","3,305,042"
2002,TOTAL,"34,548,398","3,101,390","37,649,788"
2003,1,"2,701,113","247,347","2,948,460"
2003,2,"2,561,299","200,105","2,761,404"
2003,3,"3,044,926","244,577","3,289,503"
2003,4,"2,837,955","225,582","3,063,537"
2003,5,"2,982,770","220,810","3,203,580"
2003,6,"3,184,695","269,481","3,454,176"
2003,7,"3,330,371","297,568","3,627,939"
2003,8,"3,221,254","288,763","3,510,017"
2003,9,"2,728,380","227,617","2,955,997"
2003,10,"3,156,341","239,249","3,395,590"
2003,11,"2,952,176","228,190","3,180,366"
2003,12,"3,057,596","248,339","3,305,935"
2003,TOTAL,"35,758,876","2,937,628","38,696,504"
2004,1,"2,766,500","251,942","3,018,442"
2004,2,"2,790,347","215,971","3,006,318"
2004,3,"3,306,191","265,823","3,572,014"
2004,4,"3,203,047","276,824","3,479,871"
2004,5,"3,234,331","270,424","3,504,755"
2004,6,"3,402,679","313,345","3,716,024"
2004,7,"3,513,496","348,723","3,862,219"
2004,8,"3,261,791","325,697","3,587,488"
2004,9,"2,652,807","253,445","2,906,252"
2004,10,"3,230,941","272,844","3,503,785"
2004,11,"3,113,959","244,882","3,358,841"
2004,12,"3,197,586","271,822","3,469,408"
2004,TOTAL,"37,673,675","3,311,742","40,985,417"
2005,1,"2,897,393","295,039","3,192,432"
2005,2,"2,879,549","242,537","3,122,086"
2005,3,"3,576,236","309,389","3,885,625"
2005,4,"3,357,809","298,966","3,656,775"
2005,5,"3,472,789","305,235","3,778,024"
2005,6,"3,530,662","337,241","3,867,903"
2005,7,"3,618,294","372,372","3,990,666"
2005,8,"3,366,031","345,216","3,711,247"
2005,9,"2,875,738","283,021","3,158,759"
2005,10,"3,051,567","287,863","3,339,430"
2005,11,"2,996,142","265,554","3,261,696"
2005,12,"3,061,670","303,323","3,364,993"
2005,TOTAL,"38,683,880","3,645,756","42,329,636"
2006,1,"2,824,390","325,811","3,150,201"
2006,2,"2,701,751","261,315","2,963,066"
2006,3,"3,362,791","350,519","3,713,310"
2006,4,"3,088,884","359,413","3,448,297"
2006,5,"3,137,917","341,162","3,479,079"
2006,6,"3,363,531","409,266","3,772,797"
2006,7,"3,434,098","463,818","3,897,916"
2006,8,"3,185,989","407,947","3,593,936"
2006,9,"2,748,838","311,120","3,059,958"
2006,10,"3,169,279","310,392","3,479,671"
2006,11,"3,109,413","292,051","3,401,464"
2006,12,"3,033,255","331,767","3,365,022"
2006,TOTAL,"37,160,136","4,164,581","41,324,717"
2007,1,"2,741,365","367,110","3,108,475"
2007,2,"2,660,751","299,920","2,960,671"
2007,3,"3,365,268","392,297","3,757,565"
2007,4,"3,209,489","368,305","3,577,794"
2007,5,"3,306,966","355,627","3,662,593"
2007,6,"3,574,862","422,581","3,997,443"
2007,7,"3,660,698","487,092","4,147,790"
2007,8,"3,551,951","439,057","3,991,008"
2007,9,"2,990,309","327,890","3,318,199"
2007,10,"3,388,368","340,624","3,728,992"
2007,11,"3,191,833","317,262","3,509,095"
2007,12,"3,057,864","358,746","3,416,610"
2007,TOTAL,"38,699,724","4,476,511","43,176,235"
2008,1,"2,838,579","377,389","3,215,968"
2008,2,"2,926,050","321,377","3,247,427"
2008,3,"3,426,116","423,423","3,849,539"
2008,4,"3,191,447","381,627","3,573,074"
2008,5,"3,294,271","380,705","3,674,976"
2008,6,"3,503,507","439,532","3,943,039"
2008,7,"3,658,880","509,512","4,168,392"
2008,8,"3,478,107","456,663","3,934,770"
2008,9,"3,060,669","327,306","3,387,975"
2008,10,"3,421,157","341,013","3,762,170"
2008,11,"3,133,948","313,795","3,447,743"
2008,12,"3,171,573","354,006","3,525,579"
2008,TOTAL,"39,104,304","4,626,348","43,730,652"
2009,1,"2,856,909","376,979","3,233,888"
2009,2,"2,668,491","290,473","2,958,964"
2009,3,"3,139,356","372,957","3,512,313"
2009,4,"3,130,467","374,898","3,505,365"
2009,5,"3,236,396","346,311","3,582,707"
2009,6,"3,425,761","420,370","3,846,131"
2009,7,"3,642,003","482,623","4,124,626"
2009,8,"3,411,569","444,860","3,856,429"
2009,9,"3,022,394","315,291","3,337,685"
2009,10,"3,309,919","323,476","3,633,395"
2009,11,"3,029,368","287,904","3,317,272"
2009,12,"2,952,284","342,112","3,294,396"
