"Passengers (All Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,996,724","245,186","3,241,910"
2002,11,"2,826,112","237,832","3,063,944"
2002,12,"3,085,834","257,836","3,343,670"
2002,TOTAL,"34,603,576","3,082,300","37,685,876"
2003,1,"2,686,976","234,276","2,921,252"
2003,2,"2,554,385","199,800","2,754,185"
2003,3,"3,044,047","235,164","3,279,211"
2003,4,"2,836,458","215,476","3,051,934"
2003,5,"2,992,648","237,657","3,230,305"
2003,6,"3,171,845","283,484","3,455,329"
2003,7,"3,326,522","273,685","3,600,207"
2003,8,"3,220,210","269,301","3,489,511"
2003,9,"2,712,924","226,395","2,939,319"
2003,10,"3,155,206","239,634","3,394,840"
2003,11,"2,933,540","238,648","3,172,188"
2003,12,"3,076,441","272,171","3,348,612"
2003,TOTAL,"35,711,202","2,925,691","38,636,893"
2004,1,"2,747,324","238,932","2,986,256"
2004,2,"2,776,004","212,972","2,988,976"
2004,3,"3,286,980","266,879","3,553,859"
2004,4,"3,200,608","269,769","3,470,377"
2004,5,"3,247,361","300,308","3,547,669"
2004,6,"3,382,186","326,807","3,708,993"
2004,7,"3,498,461","326,822","3,825,283"
2004,8,"3,266,995","298,990","3,565,985"
2004,9,"2,651,899","259,317","2,911,216"
2004,10,"3,225,533","265,815","3,491,348"
2004,11,"3,105,930","255,184","3,361,114"
2004,12,"3,203,559","302,385","3,505,944"
2004,TOTAL,"37,592,840","3,324,180","40,917,020"
2005,1,"2,878,422","275,475","3,153,897"
2005,2,"2,872,057","242,807","3,114,864"
2005,3,"3,557,423","305,175","3,862,598"
2005,4,"3,360,270","289,905","3,650,175"
2005,5,"3,497,075","331,551","3,828,626"
2005,6,"3,521,952","346,349","3,868,301"
2005,7,"3,604,111","338,294","3,942,405"
2005,8,"3,375,819","307,897","3,683,716"
2005,9,"2,868,340","288,269","3,156,609"
2005,10,"3,052,116","278,689","3,330,805"
2005,11,"2,991,120","272,312","3,263,432"
2005,12,"3,060,904","339,148","3,400,052"
2005,TOTAL,"38,639,609","3,615,871","42,255,480"
2006,1,"2,825,100","293,530","3,118,630"
2006,2,"2,695,120","263,476","2,958,596"
2006,3,"3,346,864","356,918","3,703,782"
2006,4,"3,092,980","335,459","3,428,439"
2006,5,"3,155,950","377,609","3,533,559"
2006,6,"3,319,604","438,588","3,758,192"
2006,7,"3,440,481","415,576","3,856,057"
2006,8,"3,179,002","368,908","3,547,910"
2006,9,"2,748,243","314,231","3,062,474"
2006,10,"3,166,004","297,524","3,463,528"
2006,11,"3,100,776","305,643","3,406,419"
2006,12,"3,027,458","374,982","3,402,440"
2006,TOTAL,"37,097,582","4,142,444","41,240,026"
2007,1,"2,744,136","332,738","3,076,874"
2007,2,"2,642,977","302,883","2,945,860"
2007,3,"3,347,887","393,886","3,741,773"
2007,4,"3,222,845","348,740","3,571,585"
2007,5,"3,318,869","387,551","3,706,420"
2007,6,"3,540,330","448,919","3,989,249"
2007,7,"3,654,986","445,300","4,100,286"
2007,8,"3,556,705","406,354","3,963,059"
2007,9,"2,982,422","337,298","3,319,720"
2007,10,"3,388,161","328,899","3,717,060"
2007,11,"3,176,190","325,828","3,502,018"
2007,12,"3,065,447","391,207","3,456,654"
2007,TOTAL,"38,640,955","4,449,603","43,090,558"
2008,1,"2,823,518","348,168","3,171,686"
2008,2,"2,905,143","327,618","3,232,761"
2008,3,"3,417,624","413,811","3,831,435"
2008,4,"3,200,599","359,957","3,560,556"
2008,5,"3,310,316","413,302","3,723,618"
2008,6,"3,477,802","461,649","3,939,451"
2008,7,"3,652,009","457,327","4,109,336"
2008,8,"3,488,127","416,540","3,904,667"
2008,9,"3,047,701","334,747","3,382,448"
2008,10,"3,416,195","331,617","3,747,812"
2008,11,"3,108,720","322,909","3,431,629"
2008,12,"3,173,033","397,081","3,570,114"
2008,TOTAL,"39,020,787","4,584,726","43,605,513"
2009,1,"2,849,037","347,113","3,196,150"
2009,2,"2,658,524","291,116","2,949,640"
2009,3,"3,136,635","359,607","3,496,242"
2009,4,"3,129,794","356,830","3,486,624"
2009,5,"3,256,465","375,942","3,632,407"
2009,6,"3,402,029","449,441","3,851,470"
2009,7,"3,628,640","447,159","4,075,799"
2009,8,"3,435,608","392,296","3,827,904"
2009,9,"3,019,930","317,696","3,337,626"
2009,10,"3,305,251","316,132","3,621,383"
2009,11,"3,023,808","293,761","3,317,569"
2009,12,"2,958,864","378,435","3,337,299"
2009,TOTAL,"37,804,585","4,325,528","42,130,113"
2010,1,"2,726,070","329,387","3,055,457"
2010,2,"2,544,751","302,127","2,846,878"
2010,3,"3,293,758","383,650","3,677,408"
2010,4,"3,262,533","347,834","3,610,367"
2010,5,"3,369,274","403,809","3,773,083"
