"Passengers (All Carriers - Denver, CO: Denver International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"1,280,960","43,924","1,324,884"
2002,11,"1,146,706","38,701","1,185,407"
2002,12,"1,486,581","45,632","1,532,213"
2002,TOTAL,"15,882,312","525,324","16,407,636"
2003,1,"1,256,017","47,797","1,303,814"
2003,2,"1,208,849","45,505","1,254,354"
2003,3,"1,416,277","47,910","1,464,187"
2003,4,"1,281,580","44,453","1,326,033"
2003,5,"1,392,844","46,930","1,439,774"
2003,6,"1,580,980","54,479","1,635,459"
2003,7,"1,733,552","63,283","1,796,835"
2003,8,"1,666,822","59,523","1,726,345"
2003,9,"1,356,965","49,511","1,406,476"
2003,10,"1,453,850","47,691","1,501,541"
2003,11,"1,339,070","42,736","1,381,806"
2003,12,"1,569,171","50,502","1,619,673"
2003,TOTAL,"17,255,977","600,320","17,856,297"
2004,1,"1,396,884","54,899","1,451,783"
2004,2,"1,389,821","52,162","1,441,983"
2004,3,"1,680,047","62,688","1,742,735"
2004,4,"1,520,619","54,904","1,575,523"
2004,5,"1,636,951","57,059","1,694,010"
2004,6,"1,859,127","61,539","1,920,666"
2004,7,"1,981,082","63,467","2,044,549"
2004,8,"1,863,647","61,618","1,925,265"
2004,9,"1,531,360","50,280","1,581,640"
2004,10,"1,594,370","53,370","1,647,740"
2004,11,"1,475,423","49,941","1,525,364"
2004,12,"1,643,201","61,030","1,704,231"
2004,TOTAL,"19,572,532","682,957","20,255,489"
2005,1,"1,470,147","70,203","1,540,350"
2005,2,"1,402,938","64,290","1,467,228"
2005,3,"1,676,600","73,490","1,750,090"
2005,4,"1,480,808","62,707","1,543,515"
2005,5,"1,700,728","69,225","1,769,953"
2005,6,"1,893,937","73,866","1,967,803"
2005,7,"1,989,533","73,266","2,062,799"
2005,8,"1,875,608","69,619","1,945,227"
2005,9,"1,588,905","55,491","1,644,396"
2005,10,"1,626,206","59,573","1,685,779"
2005,11,"1,524,401","52,347","1,576,748"
2005,12,"1,680,914","67,193","1,748,107"
2005,TOTAL,"19,910,725","791,270","20,701,995"
2006,1,"1,586,871","75,313","1,662,184"
2006,2,"1,559,040","73,902","1,632,942"
2006,3,"1,898,153","89,528","1,987,681"
2006,4,"1,757,712","85,629","1,843,341"
2006,5,"1,934,902","80,439","2,015,341"
2006,6,"2,060,762","87,984","2,148,746"
2006,7,"2,130,019","93,864","2,223,883"
2006,8,"2,028,081","83,742","2,111,823"
