"Passengers (All Carriers - Denver, CO: Denver International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"1,293,819","41,744","1,335,563"
2002,11,"1,147,358","37,090","1,184,448"
2002,12,"1,437,904","44,361","1,482,265"
2002,TOTAL,"15,905,103","505,279","16,410,382"
2003,1,"1,276,666","43,864","1,320,530"
2003,2,"1,197,208","43,037","1,240,245"
2003,3,"1,439,085","50,339","1,489,424"
2003,4,"1,288,119","43,782","1,331,901"
2003,5,"1,397,147","49,121","1,446,268"
2003,6,"1,575,468","54,381","1,629,849"
2003,7,"1,737,351","55,658","1,793,009"
2003,8,"1,661,015","55,572","1,716,587"
2003,9,"1,376,431","46,055","1,422,486"
2003,10,"1,472,405","44,493","1,516,898"
2003,11,"1,334,660","42,984","1,377,644"
2003,12,"1,523,781","49,955","1,573,736"
2003,TOTAL,"17,279,336","579,241","17,858,577"
2004,1,"1,420,640","50,246","1,470,886"
2004,2,"1,386,744","53,358","1,440,102"
2004,3,"1,702,288","63,478","1,765,766"
2004,4,"1,543,719","55,132","1,598,851"
2004,5,"1,622,802","61,658","1,684,460"
2004,6,"1,842,689","59,574","1,902,263"
2004,7,"1,970,664","57,594","2,028,258"
2004,8,"1,871,338","56,700","1,928,038"
2004,9,"1,548,863","49,613","1,598,476"
2004,10,"1,598,030","52,211","1,650,241"
2004,11,"1,477,855","47,767","1,525,622"
2004,12,"1,603,105","61,790","1,664,895"
2004,TOTAL,"19,588,737","669,121","20,257,858"
2005,1,"1,499,626","64,669","1,564,295"
2005,2,"1,399,025","60,416","1,459,441"
2005,3,"1,683,692","70,258","1,753,950"
2005,4,"1,512,150","64,645","1,576,795"
2005,5,"1,684,747","71,523","1,756,270"
2005,6,"1,876,197","73,086","1,949,283"
2005,7,"1,984,326","66,149","2,050,475"
2005,8,"1,881,356","63,875","1,945,231"
2005,9,"1,608,517","54,228","1,662,745"
2005,10,"1,637,949","57,369","1,695,318"
2005,11,"1,523,152","49,529","1,572,681"
2005,12,"1,634,205","68,203","1,702,408"
2005,TOTAL,"19,924,942","763,950","20,688,892"
2006,1,"1,618,330","71,861","1,690,191"
2006,2,"1,545,246","70,667","1,615,913"
2006,3,"1,950,046","92,353","2,042,399"
2006,4,"1,753,850","80,246","1,834,096"
2006,5,"1,922,831","83,688","2,006,519"
2006,6,"2,039,064","88,311","2,127,375"
2006,7,"2,131,831","84,102","2,215,933"
2006,8,"2,025,759","76,715","2,102,474"
2006,9,"1,752,862","74,754","1,827,616"
2006,10,"1,839,728","67,672","1,907,400"
2006,11,"1,698,997","70,308","1,769,305"
2006,12,"1,560,253","78,562","1,638,815"
2006,TOTAL,"21,838,797","939,239","22,778,036"
2007,1,"1,713,797","80,987","1,794,784"
2007,2,"1,615,133","78,006","1,693,139"
2007,3,"2,038,167","95,891","2,134,058"
2007,4,"1,860,634","89,693","1,950,327"
2007,5,"1,978,613","95,303","2,073,916"
2007,6,"2,101,018","99,272","2,200,290"
2007,7,"2,235,035","93,065","2,328,100"
2007,8,"2,175,567","89,858","2,265,425"
2007,9,"1,841,190","81,264","1,922,454"
2007,10,"1,939,447","84,112","2,023,559"
2007,11,"1,769,170","81,604","1,850,774"
2007,12,"1,730,529","97,502","1,828,031"
2007,TOTAL,"22,998,300","1,066,557","24,064,857"
2008,1,"1,713,640","92,123","1,805,763"
2008,2,"1,724,696","91,133","1,815,829"
2008,3,"2,040,598","108,085","2,148,683"
2008,4,"1,852,006","97,930","1,949,936"
2008,5,"2,016,239","104,433","2,120,672"
2008,6,"2,164,789","100,969","2,265,758"
2008,7,"2,263,419","92,879","2,356,298"
2008,8,"2,178,537","93,207","2,271,744"
2008,9,"1,834,885","79,424","1,914,309"
2008,10,"1,904,432","73,398","1,977,830"
2008,11,"1,674,668","69,694","1,744,362"
2008,12,"1,796,853","81,479","1,878,332"
2008,TOTAL,"23,164,762","1,084,754","24,249,516"
2009,1,"1,666,488","83,164","1,749,652"
2009,2,"1,584,983","82,659","1,667,642"
2009,3,"1,989,665","97,614","2,087,279"
2009,4,"1,780,782","87,699","1,868,481"
2009,5,"1,917,628","72,268","1,989,896"
2009,6,"2,138,014","75,794","2,213,808"
2009,7,"2,319,711","88,335","2,408,046"
2009,8,"2,217,002","85,672","2,302,674"
2009,9,"1,886,595","63,780","1,950,375"
2009,10,"1,924,947","65,301","1,990,248"
2009,11,"1,736,290","61,782","1,798,072"
2009,12,"1,844,445","77,958","1,922,403"
2009,TOTAL,"23,006,550","942,026","23,948,576"
2010,1,"1,725,757","81,885","1,807,642"
2010,2,"1,637,531","84,244","1,721,775"
2010,3,"2,080,576","97,703","2,178,279"
