"Passengers (All Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"1,912,156","145,464","2,057,620"
2002,11,"1,735,527","143,025","1,878,552"
2002,12,"1,990,101","173,367","2,163,468"
2002,TOTAL,"22,455,238","1,864,495","24,319,733"
2003,1,"1,691,952","149,932","1,841,884"
2003,2,"1,561,678","130,262","1,691,940"
2003,3,"1,951,977","156,711","2,108,688"
2003,4,"1,770,298","126,518","1,896,816"
2003,5,"1,948,301","145,912","2,094,213"
2003,6,"2,066,008","171,645","2,237,653"
2003,7,"2,220,271","185,690","2,405,961"
2003,8,"2,058,910","175,739","2,234,649"
2003,9,"1,677,281","135,117","1,812,398"
2003,10,"1,940,700","140,735","2,081,435"
2003,11,"1,939,177","156,395","2,095,572"
2003,12,"2,110,642","184,877","2,295,519"
2003,TOTAL,"22,937,195","1,859,533","24,796,728"
2004,1,"1,912,654","160,841","2,073,495"
2004,2,"1,880,923","155,821","2,036,744"
2004,3,"2,231,013","187,010","2,418,023"
2004,4,"2,115,198","172,091","2,287,289"
2004,5,"2,204,423","183,586","2,388,009"
2004,6,"2,332,304","202,991","2,535,295"
2004,7,"2,400,489","217,993","2,618,482"
2004,8,"2,201,457","193,218","2,394,675"
2004,9,"1,985,986","162,499","2,148,485"
2004,10,"2,192,997","161,715","2,354,712"
2004,11,"2,091,506","164,643","2,256,149"
2004,12,"2,113,523","199,007","2,312,530"
2004,TOTAL,"25,662,473","2,161,415","27,823,888"
2005,1,"1,952,674","179,383","2,132,057"
2005,2,"1,762,974","162,414","1,925,388"
2005,3,"2,168,649","207,467","2,376,116"
2005,4,"2,056,646","180,459","2,237,105"
2005,5,"2,182,266","203,794","2,386,060"
2005,6,"2,328,553","234,952","2,563,505"
2005,7,"2,414,128","244,712","2,658,840"
2005,8,"2,186,923","205,889","2,392,812"
2005,9,"1,998,024","178,561","2,176,585"
2005,10,"2,137,651","181,450","2,319,101"
2005,11,"2,137,506","179,593","2,317,099"
2005,12,"2,147,222","216,911","2,364,133"
2005,TOTAL,"25,473,216","2,375,585","27,848,801"
2006,1,"2,013,233","194,824","2,208,057"
2006,2,"1,871,478","174,355","2,045,833"
2006,3,"2,246,324","218,875","2,465,199"
2006,4,"2,188,225","195,570","2,383,795"
2006,5,"2,331,076","225,273","2,556,349"
2006,6,"2,382,931","238,248","2,621,179"
2006,7,"2,412,173","243,612","2,655,785"
2006,8,"2,169,476","213,442","2,382,918"
2006,9,"1,968,583","182,930","2,151,513"
2006,10,"2,166,614","185,846","2,352,460"
2006,11,"2,070,310","177,486","2,247,796"
2006,12,"2,138,856","209,862","2,348,718"
2006,TOTAL,"25,959,279","2,460,323","28,419,602"
2007,1,"1,944,528","186,550","2,131,078"
2007,2,"1,862,273","168,374","2,030,647"
2007,3,"2,248,185","210,210","2,458,395"
2007,4,"2,146,564","186,645","2,333,209"
2007,5,"2,275,247","212,267","2,487,514"
2007,6,"2,304,943","225,485","2,530,428"
2007,7,"2,402,764","232,360","2,635,124"
2007,8,"2,298,706","212,925","2,511,631"
2007,9,"1,988,647","177,085","2,165,732"
2007,10,"2,197,609","186,139","2,383,748"
2007,11,"2,139,381","187,678","2,327,059"
2007,12,"2,073,437","213,867","2,287,304"
2007,TOTAL,"25,882,284","2,399,585","28,281,869"
2008,1,"1,956,747","196,357","2,153,104"
2008,2,"1,901,839","182,947","2,084,786"
2008,3,"2,082,202","209,103","2,291,305"
2008,4,"1,950,412","180,479","2,130,891"
2008,5,"2,169,750","219,493","2,389,243"
2008,6,"2,286,232","227,131","2,513,363"
2008,7,"2,351,781","229,460","2,581,241"
2008,8,"2,181,822","215,712","2,397,534"
2008,9,"1,860,962","173,210","2,034,172"
2008,10,"2,083,345","183,710","2,267,055"
2008,11,"1,845,563","183,614","2,029,177"
2008,12,"2,019,018","201,528","2,220,546"
2008,TOTAL,"24,689,673","2,402,744","27,092,417"
2009,1,"1,783,541","181,406","1,964,947"
2009,2,"1,711,344","162,678","1,874,022"
2009,3,"2,064,594","193,780","2,258,374"
2009,4,"2,010,195","180,111","2,190,306"
2009,5,"2,068,553","180,097","2,248,650"
2009,6,"2,236,639","222,458","2,459,097"
2009,7,"2,360,815","236,742","2,597,557"
2009,8,"2,149,547","205,989","2,355,536"
2009,9,"1,898,584","178,367","2,076,951"
2009,10,"2,065,766","189,078","2,254,844"
2009,11,"1,925,607","183,587","2,109,194"
2009,12,"1,993,864","204,020","2,197,884"
2009,TOTAL,"24,269,049","2,318,313","26,587,362"
2010,1,"1,829,013","190,064","2,019,077"
2010,2,"1,658,806","169,197","1,828,003"
2010,3,"2,088,259","209,189","2,297,448"
2010,4,"2,036,994","192,403","2,229,397"
2010,5,"2,097,306","216,866","2,314,172"
2010,6,"2,234,369","242,062","2,476,431"
2010,7,"2,275,466","259,693","2,535,159"
2010,8,"2,117,181","222,740","2,339,921"
2010,9,"1,970,768","193,868","2,164,636"
2010,10,"2,141,521","205,834","2,347,355"
2010,11,"2,002,041","197,590","2,199,631"
2010,12,"2,049,174","222,833","2,272,007"
2010,TOTAL,"24,500,898","2,522,339","27,023,237"
2011,1,"1,844,550","202,204","2,046,754"
2011,2,"1,675,301","172,785","1,848,086"
2011,3,"2,110,738","219,149","2,329,887"
2011,4,"2,005,792","196,168","2,201,960"
2011,5,"2,106,041","216,662","2,322,703"
2011,6,"2,312,567","248,759","2,561,326"
2011,7,"2,359,579","271,395","2,630,974"
2011,8,"2,180,705","234,222","2,414,927"
2011,9,"2,057,802","202,736","2,260,538"
2011,10,"2,163,883","210,661","2,374,544"
