"Passengers (All Carriers - New York, NY: John F. Kennedy International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"602,579","618,208","1,220,787"
2002,11,"582,023","520,103","1,102,126"
2002,12,"674,367","571,935","1,246,302"
2002,TOTAL,"7,293,467","7,313,021","14,606,488"
2003,1,"627,758","602,059","1,229,817"
2003,2,"563,667","460,688","1,024,355"
2003,3,"700,136","541,699","1,241,835"
2003,4,"678,895","484,145","1,163,040"
2003,5,"681,195","517,934","1,199,129"
2003,6,"710,195","619,926","1,330,121"
2003,7,"771,303","764,227","1,535,530"
2003,8,"801,901","830,864","1,632,765"
2003,9,"633,608","646,250","1,279,858"
2003,10,"677,095","607,317","1,284,412"
2003,11,"675,908","565,141","1,241,049"
2003,12,"722,975","600,331","1,323,306"
2003,TOTAL,"8,244,636","7,240,581","15,485,217"
2004,1,"711,015","640,698","1,351,713"
2004,2,"697,028","537,977","1,235,005"
2004,3,"830,027","662,135","1,492,162"
2004,4,"872,085","691,444","1,563,529"
2004,5,"856,261","642,584","1,498,845"
2004,6,"894,529","748,877","1,643,406"
2004,7,"947,689","894,808","1,842,497"
2004,8,"999,535","957,016","1,956,551"
2004,9,"792,682","768,021","1,560,703"
2004,10,"834,001","683,346","1,517,347"
2004,11,"841,625","624,516","1,466,141"
2004,12,"852,272","639,895","1,492,167"
2004,TOTAL,"10,128,749","8,491,317","18,620,066"
2005,1,"821,678","723,623","1,545,301"
2005,2,"751,251","586,843","1,338,094"
2005,3,"983,994","763,240","1,747,234"
2005,4,"946,597","742,058","1,688,655"
2005,5,"984,055","763,563","1,747,618"
2005,6,"969,470","814,430","1,783,900"
2005,7,"1,056,821","965,209","2,022,030"
2005,8,"1,070,533","990,428","2,060,961"
2005,9,"839,624","809,756","1,649,380"
2005,10,"826,810","728,461","1,555,271"
2005,11,"884,586","664,073","1,548,659"
2005,12,"887,705","663,514","1,551,219"
2005,TOTAL,"11,023,124","9,215,198","20,238,322"
2006,1,"857,394","719,016","1,576,410"
2006,2,"763,813","576,035","1,339,848"
2006,3,"979,724","754,663","1,734,387"
2006,4,"983,040","806,829","1,789,869"
2006,5,"922,633","779,129","1,701,762"
2006,6,"960,971","861,989","1,822,960"
2006,7,"1,050,276","1,040,654","2,090,930"
2006,8,"1,088,036","1,057,519","2,145,555"
2006,9,"896,277","895,606","1,791,883"
2006,10,"977,630","791,765","1,769,395"
2006,11,"989,593","728,373","1,717,966"
2006,12,"1,021,403","741,484","1,762,887"
2006,TOTAL,"11,490,790","9,753,062","21,243,852"
2007,1,"951,387","788,678","1,740,065"
2007,2,"833,017","628,420","1,461,437"
2007,3,"1,081,711","827,651","1,909,362"
2007,4,"1,129,331","895,822","2,025,153"
2007,5,"1,136,503","857,422","1,993,925"
2007,6,"1,124,440","955,242","2,079,682"
2007,7,"1,179,771","1,127,451","2,307,222"
2007,8,"1,222,168","1,157,714","2,379,882"
2007,9,"1,015,712","922,074","1,937,786"
2007,10,"1,040,928","887,748","1,928,676"
2007,11,"1,029,463","817,841","1,847,304"
2007,12,"1,020,091","840,855","1,860,946"
2007,TOTAL,"12,764,522","10,706,918","23,471,440"
2008,1,"940,221","815,602","1,755,823"
2008,2,"895,044","715,365","1,610,409"
2008,3,"1,118,109","906,668","2,024,777"
2008,4,"1,072,952","927,715","2,000,667"
2008,5,"1,111,757","938,467","2,050,224"
2008,6,"1,155,778","991,928","2,147,706"
2008,7,"1,204,459","1,149,849","2,354,308"
2008,8,"1,228,865","1,219,981","2,448,846"
2008,9,"963,044","898,845","1,861,889"
2008,10,"998,327","894,760","1,893,087"
2008,11,"939,770","780,320","1,720,090"
2008,12,"990,241","840,490","1,830,731"
2008,TOTAL,"12,618,567","11,079,990","23,698,557"
2009,1,"878,678","811,746","1,690,424"
2009,2,"830,178","653,853","1,484,031"
2009,3,"1,029,807","820,004","1,849,811"
2009,4,"1,031,595","889,395","1,920,990"
2009,5,"1,069,518","868,479","1,937,997"
2009,6,"1,091,730","936,061","2,027,791"
2009,7,"1,146,367","1,125,965","2,272,332"
2009,8,"1,175,406","1,206,579","2,381,985"
2009,9,"955,594","960,984","1,916,578"
2009,10,"961,139","925,861","1,887,000"
2009,11,"903,004","774,132","1,677,136"
2009,12,"935,142","844,358","1,779,500"
2009,TOTAL,"12,008,158","10,817,417","22,825,575"
2010,1,"860,745","848,275","1,709,020"
2010,2,"753,085","667,619","1,420,704"
2010,3,"970,519","866,026","1,836,545"
2010,4,"981,318","879,722","1,861,040"
2010,5,"1,001,768","972,947","1,974,715"
2010,6,"1,025,165","1,047,080","2,072,245"
2010,7,"1,079,147","1,241,624","2,320,771"
2010,8,"1,108,872","1,270,474","2,379,346"
2010,9,"972,431","1,022,378","1,994,809"
2010,10,"998,147","992,823","1,990,970"
2010,11,"958,288","825,022","1,783,310"
2010,12,"918,747","850,634","1,769,381"
2010,TOTAL,"11,628,232","11,484,624","23,112,856"
2011,1,"862,243","844,002","1,706,245"
2011,2,"787,282","687,431","1,474,713"
2011,3,"1,052,517","898,783","1,951,300"
2011,4,"1,000,624","998,132","1,998,756"
2011,5,"1,074,739","1,009,185","2,083,924"
2011,6,"1,052,150","1,062,148","2,114,298"
2011,7,"1,117,486","1,268,771","2,386,257"
2011,8,"1,053,025","1,222,734","2,275,759"
2011,9,"989,031","1,048,150","2,037,181"
2011,10,"998,849","991,473","1,990,322"
2011,11,"964,155","843,472","1,807,627"
2011,12,"951,161","883,638","1,834,799"
2011,TOTAL,"11,903,262","11,757,919","23,661,181"
2012,1,"899,767","891,372","1,791,139"
2012,2,"851,602","756,334","1,607,936"
2012,3,"1,068,306","973,949","2,042,255"
2012,4,"1,039,729","1,027,596","2,067,325"
2012,5,"1,052,371","1,020,508","2,072,879"
2012,6,"1,087,902","1,125,758","2,213,660"
2012,7,"1,122,743","1,328,549","2,451,292"
2012,8,"1,154,086","1,368,670","2,522,756"
2012,9,"997,083","1,110,274","2,107,357"
2012,10,"952,141","951,298","1,903,439"
2012,11,"954,676","885,044","1,839,720"
2012,12,"990,643","947,189","1,937,832"
2012,TOTAL,"12,171,049","12,386,541","24,557,590"
2013,1,"926,236","978,946","1,905,182"
2013,2,"821,564","768,310","1,589,874"
2013,3,"1,041,712","1,058,244","2,099,956"
2013,4,"973,490","1,050,005","2,023,495"
2013,5,"1,035,545","1,089,537","2,125,082"
2013,6,"1,050,016","1,189,303","2,239,319"
2013,7,"1,087,363","1,375,996","2,463,359"
2013,8,"1,122,118","1,457,186","2,579,304"
2013,9,"981,050","1,173,802","2,154,852"
2013,10,"992,809","1,100,222","2,093,031"
2013,11,"908,928","925,174","1,834,102"
2013,12,"1,009,214","1,051,125","2,060,339"
2013,TOTAL,"11,950,045","13,217,850","25,167,895"
2014,1,"870,279","1,022,188","1,892,467"
2014,2,"795,435","802,461","1,597,896"
2014,3,"1,050,113","1,053,771","2,103,884"
2014,4,"1,051,935","1,180,201","2,232,136"
2014,5,"1,121,313","1,207,759","2,329,072"
2014,6,"1,119,207","1,249,820","2,369,027"
2014,7,"1,141,715","1,458,689","2,600,404"
2014,8,"1,211,359","1,573,091","2,784,450"
2014,9,"1,024,670","1,223,727","2,248,397"
2014,10,"1,071,583","1,157,279","2,228,862"
2014,11,"992,245","934,707","1,926,952"
2014,12,"1,063,407","1,040,553","2,103,960"
2014,TOTAL,"12,513,261","13,904,246","26,417,507"
2015,1,"951,420","1,057,526","2,008,946"
2015,2,"885,852","833,166","1,719,018"
2015,3,"1,093,302","1,095,593","2,188,895"
2015,4,"1,130,769","1,206,833","2,337,602"
2015,5,"1,183,947","1,272,708","2,456,655"
2015,6,"1,174,533","1,320,029","2,494,562"
2015,7,"1,217,629","1,589,707","2,807,336"
2015,8,"1,250,381","1,678,476","2,928,857"
2015,9,"1,067,509","1,364,297","2,431,806"
2015,10,"1,124,644","1,291,088","2,415,732"
2015,11,"1,044,099","1,059,602","2,103,701"
2015,12,"1,096,372","1,140,248","2,236,620"
2015,TOTAL,"13,220,457","14,909,273","28,129,730"
2016,1,"985,687","1,170,458","2,156,145"
2016,2,"970,534","965,232","1,935,766"
2016,3,"1,179,506","1,215,869","2,395,375"
2016,4,"1,130,294","1,273,391","2,403,685"
2016,5,"1,223,369","1,362,427","2,585,796"
2016,6,"1,234,872","1,402,547","2,637,419"
2016,7,"1,224,588","1,681,150","2,905,738"
2016,8,"1,216,610","1,744,252","2,960,862"
2016,9,"1,080,641","1,413,531","2,494,172"
2016,10,"1,107,753","1,335,096","2,442,849"
2016,11,"1,088,155","1,117,294","2,205,449"
2016,12,"1,117,027","1,205,899","2,322,926"
2016,TOTAL,"13,559,036","15,887,146","29,446,182"
2017,1,"1,046,208","1,224,387","2,270,595"
2017,2,"926,531","948,408","1,874,939"
2017,3,"1,167,665","1,198,262","2,365,927"
2017,4,"1,147,213","1,407,057","2,554,270"
2017,5,"1,180,897","1,363,527","2,544,424"
2017,6,"1,220,835","1,454,141","2,674,976"
2017,7,"1,223,885","1,721,791","2,945,676"
2017,8,"1,247,810","1,811,336","3,059,146"
2017,9,"1,048,537","1,462,412","2,510,949"
2017,10,"1,094,428","1,352,578","2,447,006"
2017,11,"1,083,990","1,129,775","2,213,765"
2017,12,"1,112,689","1,207,434","2,320,123"
2017,TOTAL,"13,500,688","16,281,108","29,781,796"
2018,1,"964,087","1,190,144","2,154,231"
2018,2,"961,616","1,004,429","1,966,045"
2018,3,"1,155,657","1,295,391","2,451,048"
2018,4,"1,193,810","1,410,065","2,603,875"
2018,5,"1,248,583","1,418,836","2,667,419"
2018,6,"1,278,782","1,488,940","2,767,722"
2018,7,"1,300,890","1,750,650","3,051,540"
2018,8,"1,325,339","1,800,723","3,126,062"
2018,9,"1,134,504","1,437,291","2,571,795"
2018,10,"1,192,008","1,427,966","2,619,974"
2018,11,"1,158,906","1,201,586","2,360,492"
2018,12,"1,180,046","1,234,485","2,414,531"
2018,TOTAL,"14,094,228","16,660,506","30,754,734"
2019,1,"1,056,092","1,292,756","2,348,848"
2019,2,"1,004,701","1,051,071","2,055,772"
2019,3,"1,272,856","1,340,575","2,613,431"
2019,4,"1,197,843","1,466,915","2,664,758"
2019,5,"1,295,080","1,493,801","2,788,881"
2019,6,"1,273,750","1,521,797","2,795,547"
2019,7,"1,264,904","1,737,511","3,002,415"
2019,8,"1,277,983","1,814,661","3,092,644"
2019,9,"1,124,989","1,492,959","2,617,948"
2019,10,"1,163,547","1,429,540","2,593,087"
2019,11,"1,088,294","1,197,416","2,285,710"
2019,12,"1,172,319","1,289,490","2,461,809"
2019,TOTAL,"14,192,358","17,128,492","31,320,850"
2020,1,"1,050,159","1,322,662","2,372,821"
2020,2,"1,007,873","1,069,885","2,077,758"
2020,3,"530,666","599,441","1,130,107"
2020,4,"24,844","16,818","41,662"
2020,5,"45,349","15,941","61,290"
2020,6,"130,520","44,986","175,506"
2020,7,"165,559","115,016","280,575"
2020,8,"197,032","185,900","382,932"
2020,9,"196,273","175,271","371,544"
2020,10,"242,988","186,452","429,440"
2020,11,"236,597","187,460","424,057"
2020,12,"250,311","200,235","450,546"
2020,TOTAL,"4,078,171","4,120,067","8,198,238"
2021,1,"268,043","326,202","594,245"
2021,2,"271,896","204,997","476,893"
2021,3,"396,229","274,012","670,241"
2021,4,"569,372","354,254","923,626"
2021,5,"771,569","421,473","1,193,042"
2021,6,"909,555","541,800","1,451,355"
2021,7,"1,014,397","716,508","1,730,905"
2021,8,"991,706","899,062","1,890,768"
2021,9,"840,325","693,716","1,534,041"
2021,10,"889,863","589,841","1,479,704"
2021,11,"1,050,225","699,061","1,749,286"
2021,12,"1,034,458","755,143","1,789,601"
2021,TOTAL,"9,007,638","6,476,069","15,483,707"
2022,1,"772,993","711,679","1,484,672"
2022,2,"871,932","651,609","1,523,541"
2022,3,"1,231,168","912,686","2,143,854"
2022,4,"1,215,626","1,052,929","2,268,555"
2022,5,"1,310,877","1,090,805","2,401,682"
2022,6,"1,267,796","1,193,316","2,461,112"
2022,7,"1,273,528","1,465,298","2,738,826"
2022,8,"1,263,844","1,476,493","2,740,337"
2022,9,"1,254,671","1,247,997","2,502,668"
2022,10,"1,280,183","1,220,112","2,500,295"
2022,11,"1,223,593","1,065,816","2,289,409"
2022,12,"1,174,521","1,122,847","2,297,368"
2022,TOTAL,"14,140,732","13,211,587","27,352,319"
2023,1,"1,073,610","1,171,161","2,244,771"
2023,2,"1,014,010","985,133","1,999,143"
2023,3,"1,299,537","1,275,383","2,574,920"
2023,4,"1,269,432","1,335,614","2,605,046"
2023,5,"1,362,493","1,367,179","2,729,672"
2023,6,"1,262,509","1,392,274","2,654,783"
2023,7,"1,224,872","1,700,007","2,924,879"
2023,TOTAL,"8,506,463","9,226,751","17,733,214"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
