"Passengers (All Carriers - New York, NY: John F. Kennedy International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"612,442","598,710","1,211,152"
2002,11,"581,676","556,622","1,138,298"
2002,12,"699,241","670,301","1,369,542"
2002,TOTAL,"7,207,639","7,245,132","14,452,771"
2003,1,"621,399","540,250","1,161,649"
2003,2,"568,540","465,651","1,034,191"
2003,3,"667,845","505,509","1,173,354"
2003,4,"663,250","469,368","1,132,618"
2003,5,"642,524","538,448","1,180,972"
2003,6,"673,732","672,904","1,346,636"
2003,7,"812,152","756,511","1,568,663"
2003,8,"788,365","747,327","1,535,692"
2003,9,"588,379","613,393","1,201,772"
2003,10,"693,828","606,994","1,300,822"
2003,11,"675,247","602,296","1,277,543"
2003,12,"773,956","710,237","1,484,193"
2003,TOTAL,"8,169,217","7,228,888","15,398,105"
2004,1,"690,145","572,176","1,262,321"
2004,2,"692,862","527,396","1,220,258"
2004,3,"796,897","637,167","1,434,064"
2004,4,"847,346","655,050","1,502,396"
2004,5,"800,658","697,732","1,498,390"
2004,6,"862,122","811,550","1,673,672"
2004,7,"995,869","877,304","1,873,173"
2004,8,"1,004,811","858,588","1,863,399"
2004,9,"717,881","709,460","1,427,341"
2004,10,"855,339","672,849","1,528,188"
2004,11,"826,229","654,381","1,480,610"
2004,12,"891,376","777,747","1,669,123"
2004,TOTAL,"9,981,535","8,451,400","18,432,935"
2005,1,"808,722","650,579","1,459,301"
2005,2,"776,136","589,888","1,366,024"
2005,3,"955,440","742,130","1,697,570"
2005,4,"933,765","709,373","1,643,138"
2005,5,"899,456","811,020","1,710,476"
2005,6,"947,863","855,988","1,803,851"
2005,7,"1,111,863","944,970","2,056,833"
2005,8,"1,072,926","896,659","1,969,585"
2005,9,"775,953","756,734","1,532,687"
2005,10,"829,913","722,815","1,552,728"
2005,11,"890,132","683,447","1,573,579"
2005,12,"925,739","794,530","1,720,269"
2005,TOTAL,"10,927,908","9,158,133","20,086,041"
2006,1,"848,899","644,811","1,493,710"
2006,2,"773,149","575,766","1,348,915"
2006,3,"948,653","718,841","1,667,494"
2006,4,"955,169","776,845","1,732,014"
2006,5,"870,453","824,723","1,695,176"
2006,6,"943,149","933,967","1,877,116"
2006,7,"1,105,676","992,307","2,097,983"
2006,8,"1,086,334","952,303","2,038,637"
2006,9,"844,020","868,795","1,712,815"
2006,10,"988,603","779,606","1,768,209"
2006,11,"991,399","743,814","1,735,213"
2006,12,"1,036,237","867,727","1,903,964"
2006,TOTAL,"11,391,741","9,679,505","21,071,246"
2007,1,"955,506","714,831","1,670,337"
2007,2,"833,932","626,947","1,460,879"
2007,3,"1,083,416","822,638","1,906,054"
