"Passengers (All Carriers - Chicago, IL: Chicago O'Hare International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,419,412","373,577","2,792,989"
2002,11,"2,147,555","304,355","2,451,910"
2002,12,"2,333,151","310,891","2,644,042"
2002,TOTAL,"26,360,801","4,329,425","30,690,226"
2003,1,"2,069,548","333,455","2,403,003"
2003,2,"1,988,704","272,952","2,261,656"
2003,3,"2,407,793","335,647","2,743,440"
2003,4,"2,367,195","303,354","2,670,549"
2003,5,"2,474,198","325,016","2,799,214"
2003,6,"2,593,425","400,773","2,994,198"
2003,7,"2,639,882","462,952","3,102,834"
2003,8,"2,588,605","454,467","3,043,072"
2003,9,"2,236,831","389,894","2,626,725"
2003,10,"2,460,928","375,281","2,836,209"
2003,11,"2,322,967","331,938","2,654,905"
2003,12,"2,400,021","346,629","2,746,650"
2003,TOTAL,"28,550,097","4,332,358","32,882,455"
2004,1,"2,045,683","365,342","2,411,025"
2004,2,"2,189,503","318,638","2,508,141"
2004,3,"2,584,367","394,482","2,978,849"
2004,4,"2,657,975","401,789","3,059,764"
2004,5,"2,635,199","400,904","3,036,103"
2004,6,"2,901,921","460,914","3,362,835"
2004,7,"2,921,821","513,478","3,435,299"
2004,8,"2,903,114","504,716","3,407,830"
2004,9,"2,556,295","437,584","2,993,879"
2004,10,"2,744,043","422,413","3,166,456"
2004,11,"2,458,661","360,584","2,819,245"
2004,12,"2,452,205","363,257","2,815,462"
2004,TOTAL,"31,050,787","4,944,101","35,994,888"
2005,1,"2,174,100","401,057","2,575,157"
2005,2,"2,138,141","336,954","2,475,095"
2005,3,"2,650,128","437,549","3,087,677"
2005,4,"2,687,765","438,641","3,126,406"
2005,5,"2,744,180","460,367","3,204,547"
2005,6,"2,895,382","509,667","3,405,049"
2005,7,"2,892,040","558,141","3,450,181"
2005,8,"2,830,343","541,542","3,371,885"
2005,9,"2,554,933","458,060","3,012,993"
2005,10,"2,682,850","442,488","3,125,338"
2005,11,"2,561,853","384,959","2,946,812"
2005,12,"2,487,876","381,899","2,869,775"
2005,TOTAL,"31,299,591","5,351,324","36,650,915"
2006,1,"2,335,057","429,440","2,764,497"
2006,2,"2,246,939","354,403","2,601,342"
2006,3,"2,722,516","458,333","3,180,849"
2006,4,"2,684,711","479,604","3,164,315"
2006,5,"2,767,864","479,761","3,247,625"
2006,6,"2,864,011","528,792","3,392,803"
2006,7,"2,836,117","594,684","3,430,801"
2006,8,"2,763,362","571,503","3,334,865"
2006,9,"2,458,304","490,256","2,948,560"
2006,10,"2,670,322","463,121","3,133,443"
2006,11,"2,482,218","422,969","2,905,187"
2006,12,"2,351,724","412,541","2,764,265"
2006,TOTAL,"31,183,145","5,685,407","36,868,552"
2007,1,"2,340,420","453,413","2,793,833"
2007,2,"2,140,269","359,274","2,499,543"
2007,3,"2,681,129","480,603","3,161,732"
