"Passengers (All Carriers - Chicago, IL: Chicago O'Hare International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,440,166","361,881","2,802,047"
2002,11,"2,148,454","308,576","2,457,030"
2002,12,"2,397,757","349,569","2,747,326"
2002,TOTAL,"26,332,332","4,246,375","30,578,707"
2003,1,"2,038,053","305,307","2,343,360"
2003,2,"2,002,131","265,423","2,267,554"
2003,3,"2,443,706","332,562","2,776,268"
2003,4,"2,287,731","274,001","2,561,732"
2003,5,"2,424,974","345,631","2,770,605"
2003,6,"2,601,212","426,808","3,028,020"
2003,7,"2,656,796","422,397","3,079,193"
2003,8,"2,567,497","421,109","2,988,606"
2003,9,"2,231,254","386,771","2,618,025"
2003,10,"2,478,985","363,882","2,842,867"
2003,11,"2,316,263","335,372","2,651,635"
2003,12,"2,461,374","389,712","2,851,086"
2003,TOTAL,"28,509,976","4,268,975","32,778,951"
2004,1,"2,032,667","331,854","2,364,521"
2004,2,"2,200,983","306,513","2,507,496"
2004,3,"2,637,680","394,514","3,032,194"
2004,4,"2,557,628","375,974","2,933,602"
2004,5,"2,597,114","424,823","3,021,937"
2004,6,"2,891,712","480,111","3,371,823"
2004,7,"2,946,134","468,324","3,414,458"
2004,8,"2,889,955","454,590","3,344,545"
2004,9,"2,556,251","434,674","2,990,925"
2004,10,"2,771,638","405,032","3,176,670"
2004,11,"2,443,911","362,363","2,806,274"
2004,12,"2,501,422","412,046","2,913,468"
2004,TOTAL,"31,027,095","4,850,818","35,877,913"
2005,1,"2,165,220","365,078","2,530,298"
2005,2,"2,143,058","328,450","2,471,508"
2005,3,"2,753,365","440,563","3,193,928"
2005,4,"2,541,964","411,193","2,953,157"
2005,5,"2,699,717","499,545","3,199,262"
2005,6,"2,881,258","536,708","3,417,966"
2005,7,"2,919,819","513,203","3,433,022"
2005,8,"2,810,887","483,456","3,294,343"
2005,9,"2,546,890","456,494","3,003,384"
2005,10,"2,700,719","434,858","3,135,577"
2005,11,"2,552,818","385,747","2,938,565"
2005,12,"2,537,854","434,265","2,972,119"
2005,TOTAL,"31,253,569","5,289,560","36,543,129"
2006,1,"2,313,790","387,764","2,701,554"
2006,2,"2,257,206","343,445","2,600,651"
2006,3,"2,775,206","460,986","3,236,192"
2006,4,"2,583,489","439,592","3,023,081"
2006,5,"2,712,717","523,139","3,235,856"
2006,6,"2,846,936","564,555","3,411,491"
2006,7,"2,864,664","540,689","3,405,353"
2006,8,"2,759,642","504,947","3,264,589"
2006,9,"2,445,699","492,795","2,938,494"
2006,10,"2,686,526","446,743","3,133,269"
2006,11,"2,502,023","421,667","2,923,690"
2006,12,"2,388,152","461,756","2,849,908"
2006,TOTAL,"31,136,050","5,588,078","36,724,128"
2007,1,"2,321,926","407,324","2,729,250"
2007,2,"2,141,920","344,636","2,486,556"
2007,3,"2,736,628","490,427","3,227,055"
2007,4,"2,577,386","432,627","3,010,013"
2007,5,"2,779,638","515,243","3,294,881"
2007,6,"2,814,795","557,762","3,372,557"
2007,7,"2,854,152","534,736","3,388,888"
2007,8,"2,788,406","507,032","3,295,438"
2007,9,"2,461,840","477,303","2,939,143"
2007,10,"2,681,107","456,765","3,137,872"
2007,11,"2,456,002","414,533","2,870,535"
2007,12,"2,221,522","454,500","2,676,022"
2007,TOTAL,"30,835,322","5,592,888","36,428,210"
2008,1,"2,054,376","408,688","2,463,064"
2008,2,"1,994,088","359,604","2,353,692"
2008,3,"2,493,535","482,158","2,975,693"
2008,4,"2,420,284","430,809","2,851,093"
2008,5,"2,579,839","512,691","3,092,530"
2008,6,"2,614,842","557,792","3,172,634"
2008,7,"2,682,934","513,179","3,196,113"
2008,8,"2,588,579","507,137","3,095,716"
2008,9,"2,241,562","437,073","2,678,635"
2008,10,"2,453,305","437,468","2,890,773"
2008,11,"2,003,233","381,347","2,384,580"
2008,12,"2,042,041","428,916","2,470,957"
2008,TOTAL,"28,168,618","5,456,862","33,625,480"
2009,1,"1,780,448","374,712","2,155,160"
2009,2,"1,759,014","320,525","2,079,539"
2009,3,"2,267,624","415,437","2,683,061"
2009,4,"2,158,812","402,713","2,561,525"
2009,5,"2,236,470","447,952","2,684,422"
2009,6,"2,382,222","499,773","2,881,995"
2009,7,"2,494,585","499,076","2,993,661"
2009,8,"2,403,902","480,322","2,884,224"
2009,9,"2,125,351","413,803","2,539,154"
